Symbol,Price,MA50-D,MA200-D,RSI-D,MACD-H-D,Signal-D,Volume-D,MA50-W,MA200-W,RSI-W,MACD-H-W,Signal-W,Volume-W,52W-High,52W-Low,Trend,Date
ACPL,234.725,247.24,275.66,51.05,2.28,-6.77,183242,275.19,159.7,34.49,-3.47,-10.72,171468,325.01,205,Downtrend,2026-05-29
AHCL,14.2325,14.04,15.24,48.13,-0.04,0,2357063,14.74,7.27,45.45,-0.11,-0.15,13493963,19.33,10,Sideways,2026-05-29
APL,557.6775,554.76,552.4,42.5,-4.34,2.84,102946,546.89,416.81,45.54,-2.44,5.93,536425,646,435.11,Uptrend,2026-05-29
ATIL,72,71.56,78.11,50.56,0.06,0.32,35970,77.51,51.02,51.49,0.24,-1.37,40653,111.8,55,Sideways,2026-05-29
ATLH,1785.125,1656.9,1528.76,65.84,-1.74,27.22,12572,1478.02,749.2,66.37,2.19,77.72,24141,1931,913,Uptrend,2026-05-29
BOP,34.5425,31.42,31.91,54.48,-0.25,0.66,23894150,29.17,11.8,54.77,-0.02,0.99,78158231,44.17,9.71,Sideways,2026-05-29
BWCL,454.005,450.08,524.49,49.09,-0.6,-0.23,36884,510.78,291.64,40.34,0.76,-17.06,274974,687.61,386,Sideways,2026-05-29
DLL,59.22525,53.81,50.67,72.65,0.91,-0.79,251490,47.94,28.91,61.55,-0.86,1.93,1205080,76.8,21.31,Uptrend,2026-05-29
DOL,33.7525,29.02,32.85,71.09,0.3,0.86,222370,32.94,25.87,54.97,0.57,-0.88,441709,41,25.36,Sideways,2026-05-29
DYNO,312.99,293.25,294.34,59.16,-0.77,5.26,1354,293.19,210.88,68.23,4.14,4.27,96672,353.3,228.37,Sideways,2026-05-29
EFERT,205.54,201.61,215.97,58.9,1.03,-1.56,2130258,213.42,152.4,46.1,-0.6,-4.02,4283906,263.3,176,Sideways,2026-05-29
EFUL,153.975,146.18,156.47,66.16,0.85,0.27,68489,155.96,174.92,52.62,0.23,-2.86,115416,182,136.1,Sideways,2026-05-29
EPQL,24.375,24.33,28.44,56.04,0.16,-0.18,326276,28.46,27.08,37.9,-0.02,-1.49,1130580,34.98,22.3,Sideways,2026-05-29
FCCL,54.235,46.88,53.03,65.28,0.27,0.69,16724538,51.97,29.28,57.03,0.82,-1.04,31142219,62.84,36.26,Sideways,2026-05-29
FFC,557.005,515.93,523.63,68.4,3.4,0.8,6661441,511.39,260.43,59.08,-0.32,4.24,10207517,685,362.96,Sideways,2026-05-29
HMB,117.6625,114.66,116.58,55.51,-0.05,0.13,35483,115.35,70.85,52.75,-0.14,0.82,941333,132,89,Sideways,2026-05-29
HUBC,219.69,211.24,212.46,57.06,0.29,-0.39,3968035,203.36,129.84,53.43,-0.66,3.43,9572648,249.99,131,Sideways,2026-05-29
INDU,2061.2925,1942.16,2067.69,61.39,-3.37,12.96,13208,2053.13,1555.25,53.77,16.49,-20.3,37273,2430,1685,Sideways,2026-05-29
JGICL,73.4725,69.29,78,57.37,-0.07,0.86,22837,76.1,47.48,50.26,0.33,-1.45,112906,95.5,51.84,Sideways,2026-05-29
KAPCO,27.3125,27.34,32.06,47.82,0.05,-0.2,636973,32.11,29.99,38,0.01,-1.57,4830323,41.04,24.01,Downtrend,2026-05-29
LOTCHEM,28.905,25.77,26.11,66.11,0.02,0.38,15413819,25.43,23.62,58.21,0.34,0.27,11183880,34.3,18.41,Sideways,2026-05-29
LSEVL,9.1825,8.35,8.09,56.87,-0.03,0.21,492425,8.62,,57.98,0.16,0.09,2213956,15.64,5.39,Uptrend,2026-05-29
MTL,280.50625,262.58,266.29,59.6,-0.94,5.44,1509610,268.85,248.53,61.42,3.51,-0.69,1569706,299.75,232.5,Sideways,2026-05-29
NBP,196.145,188.76,212.92,55.62,1.62,-3.57,8874378,199.05,80.99,43.78,-5.19,-1.6,10070871,287.8,91.53,Sideways,2026-05-29
OGDC,328.3075,302.79,283.84,60.9,-0.57,5.85,3972556,278.07,166.24,62.52,2.25,11.32,12827421,337.1,202,Uptrend,2026-05-29
OLPL,49.08,48.72,48.63,53.44,0.02,-0.15,11271,47.57,31.23,57.28,-0.03,0.54,157099,59.45,37.01,Uptrend,2026-05-29
POL,662.6325,650.06,645.61,58.29,-0.5,2.49,148353,640.97,516.57,63.99,1.86,7.39,599518,744.95,524.9,Uptrend,2026-05-29
PPL,239.07,221.18,214.64,61.42,1.18,2.14,3702125,209.42,132.93,55.19,-0.04,4.59,18112237,284.6,151.3,Uptrend,2026-05-29
PSO,356.47,360.67,423.75,46.62,-0.36,-4.4,3442404,416.46,252.45,36.61,-2.52,-18.74,7537400,506.75,320.11,Downtrend,2026-05-29
SNGP,102.0325,97.15,113.63,58.44,0.34,0.27,1584976,113.71,76.38,44.23,1,-5.08,5964727,142.6,83.2,Sideways,2026-05-29
