Symbol,Price,MA50-D,MA200-D,RSI-D,MACD-H-D,Signal-D,Volume-D,MA50-W,MA200-W,RSI-W,MACD-H-W,Signal-W,Volume-W,52W-High,52W-Low,Trend,Date
AHCL,15.9775,15.83,15.55,48.79,-0.08,0.16,1500579,15.6,8.06,55.47,0.11,0.21,7096195,19.33,12.16,Uptrend,2026-09-04
APL,583.875,552.51,558.03,69,1.71,9.22,48093,555.79,433.59,61.9,3.77,-0.19,261092,646,485,Sideways,2026-09-04
ATIL,76.545,77.08,75.44,41.63,-0.18,0.51,36523,77.05,53.82,55.66,0.42,0.51,103900,111.8,63,Sideways,2026-09-04
ATLH,1586.01,1643.42,1639.52,24.77,0.48,-16.95,30652,1606.5,835.03,42.03,-23.5,22.57,37183,1931,1201,Sideways,2026-09-04
BOP,34.7475,34.57,34.54,54.39,0.12,-0.14,12688047,34.41,13.73,53.64,-0.19,0.79,129747624,44.17,16.28,Uptrend,2026-09-04
BWCL,476.03,494.91,490.21,28.02,-2.54,-1.83,3592,507.49,314.93,47.88,2.52,0.44,51680,687.61,386,Sideways,2026-09-04
DLL,48.525,54.77,57.83,25.05,-0.61,-0.83,72432,54.67,31.28,40.82,-0.68,0.28,286608,76.8,29.16,Downtrend,2026-09-04
DOL,29.9475,30.86,31.27,41.99,-0.01,-0.23,390527,31.9,26.46,45.21,-0.1,-0.14,897993,41,25.36,Downtrend,2026-09-04
DYNO,354.6075,345.6,306.79,65.41,0.94,1.03,38,306.9,221.02,70.08,0.01,14.19,11393,366.9,254.3,Uptrend,2026-09-04
EFERT,190.78,190.57,208.81,59.67,1.04,-1.88,619769,190.57,208.81,59.67,1.04,-1.88,619769,263.3,180.01,Sideways,2026-09-04
EFUG,130.28,124.67,125.52,62.67,0.46,0.8,7574,125.29,105.45,59.57,0.37,-0.1,53523,139.71,109.8,Sideways,2026-09-04
EFUL,159.32,158.66,156.71,46.88,-1.18,2.43,2154,156.33,172.72,55.15,1.43,0.94,46518,185.5,136.1,Uptrend,2026-09-04
EPQL,24.54,27.42,27.22,40.75,0.13,-0.58,614685,27.42,27.22,40.75,0.13,-0.58,614685,34.98,22.3,Sideways,2026-09-04
FCCL,54.26,55.79,52.9,42.69,-0.38,0.08,2136069,53.42,32.02,53.09,0.15,1.22,16143053,62.84,36.26,Sideways,2026-09-04
FECTC,103.78,110.74,118.7,39.38,-0.77,-0.47,65178,118.57,64.97,47.62,0.82,-1.08,327522,195.75,72,Downtrend,2026-09-04
FFC,549.0275,557.33,554.59,44.78,-0.19,-2.36,269874,542.72,290.06,51.15,-1.53,8.1,1810989,685,441.7,Sideways,2026-09-04
HMB,100.93,112.63,115.09,19.84,-0.72,-3.08,54526,115.6,75.84,28.84,-1.57,-0.56,2510647,132,99.07,Downtrend,2026-09-04
HUBC,206.9375,219.11,218.7,37.65,0.08,-3.15,902169,219.08,139.79,43.85,-2.25,2.23,7981134,249.99,168.36,Sideways,2026-09-04
INDU,1907.1775,1966.14,2001.52,31.13,-3.64,-6.34,93201,2019.3,1620.39,43,-6.04,-13.85,284321,2300,1695,Downtrend,2026-09-04
KAPCO,27.09,27.97,29.99,30.94,-0.12,-0.1,1640316,30.37,29.86,39.31,0.19,-0.81,2724267,41.04,24.01,Downtrend,2026-09-04
LOTCHEM,26.9375,28.33,27.2,39.41,-0.02,-0.2,1880142,27.18,23.5,50.46,-0.21,0.6,33556681,34.3,18.41,Sideways,2026-09-04
LSEVL,12.73,13.04,9.47,44.62,-0.16,0.02,417502,9.04,,62.93,0.13,1.18,1985431,14.9,5.39,Sideways,2026-09-04
MTL,304.2625,299.88,272.78,56.07,-0.47,1.9,187575,271.42,257.46,57.33,1.62,7.99,755630,318.5,150.25,Uptrend,2026-09-04
NBP,186.365,202.34,216.44,31.53,-1.97,-2.85,829326,214.87,92.25,41.64,-0.41,-2.15,11018686,287.8,152.4,Downtrend,2026-09-04
OGDC,329.225,325.66,303.29,57.6,0.97,1.1,8517799,298.07,182.35,58.28,-1.89,9.98,22449822,352,238.2,Uptrend,2026-09-04
OLPL,47.55,49.69,48.76,36.69,-0.23,-0.32,5458,49.15,33.03,45.39,-0.18,0.52,465897,59.45,44.05,Sideways,2026-09-04
POL,730.5525,698.54,656.53,62.09,-0.09,11.64,100967,658.04,536.77,75.63,4.53,15.44,722477,765,584.76,Uptrend,2026-09-04
PPL,226.3725,231.55,228.66,41.53,-1.36,2.14,8889783,223.6,143.91,51.73,-0.38,3.09,24370947,284.6,178.9,Sideways,2026-09-04
PSO,360.05,354.44,395.45,49.01,-1.55,4.23,1480786,404.71,264.55,47.15,4.66,-14.21,9896804,506.75,320.11,Sideways,2026-09-04
SNGP,99.12,107.41,106.97,36.32,-0.29,-1.29,1318603,110.39,81.16,43.69,-0.34,-0.7,7240724,142.6,83.2,Sideways,2026-09-04
