Symbol,Price,MA50-D,MA200-D,RSI-D,MACD-H-D,Signal-D,Volume-D,MA50-W,MA200-W,RSI-W,MACD-H-W,Signal-W,Volume-W,52W-High,52W-Low,Trend,Date
AHCL,16.145,15.82,15.54,54.31,-0.03,0.24,764548,15.56,8,58.07,0.14,0.19,4043752,19.33,12.16,Uptrend,2026-08-29
APL,595.65,548.14,556.74,85.38,4.15,5.46,231216,554.51,432.1,59.89,2.05,-1.13,1023384,646,485,Sideways,2026-08-29
ATIL,78.49,76.71,75.47,55.91,-0.08,0.59,46243,77.15,53.6,59.64,0.57,0.41,130883,111.8,63,Uptrend,2026-08-29
ATLH,1596.91,1656.92,1637.62,27.57,-0.26,-17.58,1580,1601.07,828.76,42.68,-24.25,28.45,7913,1931,1105,Sideways,2026-08-29
BOP,33.82,34.71,34.55,48.22,-0.12,-0.23,91717447,34.15,13.58,50.66,-0.23,0.83,114968363,44.17,14.48,Sideways,2026-08-29
BWCL,486.7,494.21,492.2,38.18,-2.37,1.22,9635,509.28,313.19,50.23,4.16,-0.19,64537,687.61,386,Sideways,2026-08-29
DLL,54.0025,55.46,57.75,45.88,0.04,-0.33,407570,54.27,31.12,47.66,-0.5,0.45,494969,76.8,29.16,Downtrend,2026-08-29
DOL,29.8525,31.06,31.32,38.54,-0.07,-0.18,41196,32.07,26.42,45.48,-0.06,-0.11,324846,41,25.36,Downtrend,2026-08-29
DYNO,350.4775,344.45,304.86,60.01,0.3,0.16,13480,306.36,220.11,67.02,0.02,14.19,19269,366.9,254.3,Uptrend,2026-08-29
EFERT,183.4025,192,209.41,34.31,-0.12,-2.39,1232014,210.62,159.13,31.79,-1.02,-5.78,4099634,263.3,180.15,Downtrend,2026-08-29
EFUG,128.4075,124.42,125.42,60.45,0.33,0.28,43666,125.23,105.3,58.1,0.17,-0.19,85873,139.71,109.8,Sideways,2026-08-29
EFUL,169.17,158.41,156.52,61.39,0.86,3.23,6362,156.22,172.88,69.23,1.79,0.58,77538,185.5,136.1,Uptrend,2026-08-29
EPQL,24.94,25.53,27.2,41.73,-0.09,-0.19,235171,27.52,27.21,41.84,0.19,-0.61,1496761,34.98,22.3,Downtrend,2026-08-29
FCCL,56.69,56.11,52.83,53.04,-0.03,0.43,2789427,53.5,31.82,56.85,0.32,1.18,18471819,62.84,36.26,Uptrend,2026-08-29
FECTC,107.4,112.15,119.92,45.79,-0.52,0.34,63551,118.56,64.57,49.11,1.3,-1.28,393699,195.75,72,Downtrend,2026-08-29
FFC,549.79,558.82,553.26,45.17,-1.34,-1.78,479275,540.77,287.83,50.73,-0.97,8.49,2256369,685,425,Sideways,2026-08-29
HMB,102.2425,114.22,115.45,18.58,-1.19,-1.83,271867,115.92,75.51,31.58,-1.11,-0.17,1421118,132,101,Downtrend,2026-08-29
HUBC,211.2775,221.39,218.85,44.28,-0.14,-3.28,2244981,218.9,139.08,44.67,-2.02,2.8,15752345,249.99,161.37,Sideways,2026-08-29
INDU,1953.78,1979.92,2003.5,49.14,3.03,-5.02,44292,2026.03,1615.32,46.3,-4.93,-12.34,175299,2300,1695,Downtrend,2026-08-29
KAPCO,27.6325,28.07,30.06,40.38,-0.08,0.04,420186,30.55,29.85,42.67,0.25,-0.85,1993561,41.04,24.01,Downtrend,2026-08-29
LOTCHEM,28.1675,28.46,27.19,54.16,0.15,-0.28,4078511,27.14,23.51,52.16,-0.19,0.65,25526908,34.3,18.41,Sideways,2026-08-29
LSEVL,13.095,12.83,9.35,46.79,-0.15,0.24,139458,8.92,,69.29,0.25,1.14,1775002,14.9,5.39,Uptrend,2026-08-29
MTL,302.1525,294.08,271.83,53.24,-0.91,2.81,142763,271.07,256.69,57.02,2.05,7.59,645158,318.5,150.25,Uptrend,2026-08-29
NBP,188.44,204.27,217.28,29.3,-1.56,-0.19,4227118,214.86,91.45,45.83,0.53,-2.05,17440511,287.8,147.12,Downtrend,2026-08-29
OGDC,324.6675,325.99,301.24,53.27,1.23,-0.36,1821529,297.03,181.07,57.92,-2.2,10.46,16224308,352,238.2,Sideways,2026-08-29
OLPL,48.325,49.82,48.73,36.88,-0.24,-0.06,128819,49.2,32.89,49.16,-0.08,0.56,559353,59.45,44.05,Sideways,2026-08-29
POL,744.7225,694.98,653.04,78.03,3.61,9.95,439594,657.05,535.08,77.02,3.99,14.31,2446468,765,584.76,Uptrend,2026-08-29
PPL,237.52,232.85,227.56,57.18,1.47,2.52,3877076,222.8,143.01,57.04,-0.29,3.18,36813183,284.6,175.9,Uptrend,2026-08-29
PSO,362.265,354.47,397.33,51.45,0.57,5.34,2322088,405.99,263.46,51.28,4.63,-15.37,12632645,506.75,320.11,Sideways,2026-08-29
SNGP,101.6325,108.92,107.43,41.43,0.03,-1.11,1976489,111.05,80.84,46.15,-0.08,-0.62,11465870,142.6,83.2,Sideways,2026-08-29
