Symbol,Price,MA50-D,MA200-D,RSI-D,MACD-H-D,Signal-D,Volume-D,MA50-W,MA200-W,RSI-W,MACD-H-W,Signal-W,Volume-W,52W-High,52W-Low,Trend,Date
ACPL,230.0975,228.78,257.51,50.62,-0.53,0.79,39078,262.49,167.77,41.21,1.76,-11.12,376503,325.01,205,Sideways,2026-08-21
AHCL,16.28,15.72,15.54,58.94,0.03,0.25,1107049,15.51,7.93,59.91,0.15,0.15,19544578,19.33,12.16,Uptrend,2026-08-21
APL,562.27,544.43,555.97,68.55,1.92,2.75,12796,553.38,430.62,53.12,-0.09,-1.64,202492,646,485,Sideways,2026-08-21
ATIL,77.6525,76.39,75.54,51.35,-0.13,0.72,64576,77.16,53.38,61.19,0.66,0.26,152059,111.8,63,Uptrend,2026-08-21
ATLH,1603.44,1671.82,1635.2,24.2,0.35,-17.22,2684,1594.25,822.46,44.62,-24.35,34.51,13417,1931,1105,Sideways,2026-08-21
BOP,33.1575,34.8,34.59,40.57,-0.12,-0.07,16668528,33.85,13.43,50.41,-0.19,0.89,66329920,44.17,13.61,Sideways,2026-08-21
BWCL,501.5425,491.75,493.97,56.74,-0.76,3.36,24867,511.05,311.45,57.84,5.89,-1.23,115019,687.61,386,Sideways,2026-08-21
DLL,54.4575,55.73,57.44,47.49,0.16,-0.39,14301,53.82,30.94,48.21,-0.52,0.58,69735,76.8,29.16,Downtrend,2026-08-21
DOL,30.065,31.21,31.37,40.72,-0.02,-0.12,32650,32.25,26.39,48.03,-0.01,-0.1,307654,41,25.36,Downtrend,2026-08-21
DYNO,341.62,343.84,303.34,46.5,-0.73,0.47,173,305.86,219.29,64.91,0.5,14.18,2427,366.9,254.3,Sideways,2026-08-21
EFERT,183.435,193.32,209.92,31.18,-0.25,-2.16,355323,211.25,158.62,33.07,-0.94,-5.53,3170421,263.3,180.15,Downtrend,2026-08-21
EFUL,170.7575,157.1,156.2,65.93,2.06,1.87,67435,155.98,173.03,67.12,1.29,0.14,231413,185.5,136.1,Uptrend,2026-08-21
EPQL,24.57,25.54,27.28,30.99,-0.21,-0.05,201169,27.62,27.22,42.66,0.27,-0.66,1343064,34.98,22.3,Downtrend,2026-08-21
FCCL,55.3525,55.88,52.75,47.18,-0.16,0.5,2373631,53.55,31.61,56.8,0.4,1.1,19386594,62.84,36.26,Sideways,2026-08-21
FFC,544.7325,559.46,552.19,39.98,-2.82,0.21,370119,538.8,285.6,52.1,0.02,8.73,3434944,685,425,Sideways,2026-08-21
HMB,108.94,115.23,115.78,29.71,-0.5,-0.77,331375,116.21,75.17,41.46,-0.55,0.11,1726511,132,103,Downtrend,2026-08-21
HUBC,205.1625,222.1,219.03,31.4,-1.29,-2.64,8081407,218.55,138.36,43.61,-1.66,3.3,22938430,249.99,158.96,Sideways,2026-08-21
INDU,1963.865,1985.38,2006.07,53.6,7.38,-9.39,108986,2032.27,1610.19,47.21,-6.02,-11.11,943304,2430,1695,Downtrend,2026-08-21
JGICL,81.325,80.16,77.18,51.6,0.52,0.76,872447,77.92,50.19,60.72,0.64,1.05,3272197,91,59.26,Uptrend,2026-08-21
KAPCO,27.94,28.05,30.09,46.36,-0.06,0.1,359687,30.73,29.85,44.73,0.28,-0.92,2574162,41.04,24.01,Downtrend,2026-08-21
LOTCHEM,27.2775,28.54,27.15,42.42,0.01,-0.39,6802425,27.08,23.52,50.28,-0.2,0.7,25706826,34.3,18.41,Sideways,2026-08-21
LSEVL,13.1825,12.58,9.2,47.92,-0.13,0.39,270306,8.79,,74.89,0.35,1.08,2328263,15.64,5.39,Uptrend,2026-08-21
MTL,298.96,292.46,270.81,49.6,-1.29,3.91,97037,270.77,255.95,57.1,2.56,7.08,550934,318.5,150.25,Uptrend,2026-08-21
NBP,202.49,203.57,217.82,47.22,-0.32,0.61,2506738,214.49,90.6,49.87,1.13,-2.18,13503624,287.8,142.98,Downtrend,2026-08-21
OGDC,322.835,325.29,299.8,53.4,0.57,-1.73,7175265,295.92,179.79,55.32,-2.59,11.01,29397746,352,238.2,Sideways,2026-08-21
OLPL,49.9475,49.86,48.7,48.8,-0.11,0.13,154360,49.2,32.74,56.96,0,0.58,358095,59.45,43,Uptrend,2026-08-21
POL,716.69,691.45,650.29,72.52,2.3,7.25,378872,655.95,533.32,72.89,2.38,13.31,1256360,744.95,584.76,Uptrend,2026-08-21
PPL,239.17,231.6,226.44,65.88,2.31,0.38,8161087,221.81,142.08,55.11,-1.16,3.25,55008077,284.6,175.8,Uptrend,2026-08-21
PSO,373.45,352.93,398.84,64.99,3.21,3.37,4133481,406.91,262.35,49.47,3.49,-16.53,56401728,506.75,320.11,Sideways,2026-08-21
SNGP,102.18,108.72,107.86,42.25,0.04,-1.21,2962148,111.57,80.5,47.24,0.11,-0.6,24130062,142.6,83.2,Sideways,2026-08-21
