Symbol,Price,MA50-D,MA200-D,RSI-D,MACD-H-D,Signal-D,Volume-D,MA50-W,MA200-W,RSI-W,MACD-H-W,Signal-W,Volume-W,52W-High,52W-Low,Trend,Date
ACPL,232.635,236.97,271.08,49.4,1.07,-0.96,49056,272.19,161.99,36.04,-1.16,-12.07,254017,325.01,205,Downtrend,2026-06-19
AHCL,16.3225,14.58,15.41,73.76,0.18,0.22,10412674,15,7.44,59.23,0.13,-0.12,7489878,19.33,10,Sideways,2026-06-19
APL,544.6425,558.77,553.48,47.6,1.77,-7.91,74727,549.59,420.32,45.66,-4.41,2.71,93426,646,435.11,Sideways,2026-06-19
ATIL,74.82,71.88,77.48,61.35,-0.02,0.7,13443,78.23,51.63,52.82,0.51,-1.04,98172,111.8,58.5,Sideways,2026-06-19
ATLH,1722.4925,1736.95,1569.4,38.47,-11.12,11.26,3888,1520.62,770.21,57.24,-6.33,76.23,8386,1931,913,Sideways,2026-06-19
BOP,35.61,34.04,33.4,58.05,0.18,0.37,34168331,30.6,12.24,57.17,0.08,1.01,46161666,44.17,9.71,Uptrend,2026-06-19
BWCL,472.17,457.07,517.68,63.78,3.2,1.64,34498,513.87,296.7,50.21,3.75,-15.24,56682,687.61,386,Sideways,2026-06-19
DLL,55.9875,54.6,52.7,47.62,-0.43,1.18,49151,49.84,29.46,51.1,-0.52,1.53,790335,76.8,21.31,Uptrend,2026-06-19
DOL,32.125,30.35,32.64,58.63,-0.11,0.49,116275,32.88,26.03,52.86,0.48,-0.49,202011,41,25.36,Sideways,2026-06-19
DYNO,338.84,313.94,297.79,60.84,-0.32,8.61,601,296.82,213.05,68,5.04,8.16,9253,366.9,240,Uptrend,2026-06-19
EFERT,200.66,201.99,215.59,49.47,0.21,-0.16,1940377,214.05,154.21,43.26,-0.16,-4.27,5199549,263.3,176,Downtrend,2026-06-19
EFUL,157.7675,148.92,156.06,61.34,0.43,1.97,592,156.25,174.25,58.38,1.33,-2.11,2445,182,136.1,Sideways,2026-06-19
EPQL,25.1425,24.34,28.16,65.81,0.06,0.21,496381,28.25,27.1,42.91,0.22,-1.37,1311783,34.98,22.3,Sideways,2026-06-19
FCCL,57.525,51.37,53.21,65.51,0.43,1.57,4626461,52.62,29.93,62.79,1.24,-0.24,16089123,62.84,36.26,Sideways,2026-06-19
FFC,562.9475,535.31,532.52,62.14,0.46,9.45,1967496,521.23,267.27,58.69,2.51,5.64,3388319,685,369.71,Uptrend,2026-06-19
HMB,116.4575,117.06,116.53,49.71,0.06,0.01,470377,116.13,72.01,49.57,-0.22,0.68,1200007,132,91.1,Sideways,2026-06-19
HUBC,233.735,218.22,216.81,70.76,2.06,1.86,13325239,208.54,132.21,61.7,0.94,3.57,10685717,249.99,131,Uptrend,2026-06-19
INDU,2067,2015.87,2051.52,60.21,3.37,9.01,14658,2064.72,1570.23,55.07,14.65,-10.31,38443,2430,1695,Sideways,2026-06-19
JGICL,79.645,72.15,77.61,65.84,0.35,1.52,109434,77.11,48.19,60.83,1.12,-0.79,117936,95.5,55.9,Sideways,2026-06-19
KAPCO,28.2075,27.69,31.47,61.91,0.09,0.08,2232548,31.82,29.96,43.71,0.22,-1.46,3825814,41.04,24.01,Sideways,2026-06-19
LOTCHEM,28.89,27.36,26.62,58.79,-0.04,0.53,31177846,25.94,23.57,57.94,0.3,0.52,19768056,34.3,18.41,Uptrend,2026-06-19
LSEVL,10.6325,9.13,7.84,74.06,0.08,0.34,4164633,8.57,,66.26,0.24,0.25,4252078,15.64,5.39,Uptrend,2026-06-19
MTL,153.10875,267.86,264.85,18.59,-12.78,-1.16,1312692,268.52,250.18,61.76,2.56,0.65,2344097,318.5,150.25,Sideways,2026-06-19
NBP,205.1775,191.15,216.11,62.93,2.76,0.97,5125036,204.03,83.49,49.66,-1.53,-3.79,13723136,287.8,98.75,Sideways,2026-06-19
OGDC,334.6925,318.29,288.29,64.06,1.02,2.74,9526189,284.38,169.88,65,1.71,12.46,24808320,340.75,202,Uptrend,2026-06-19
OLPL,49.525,49.27,49.05,53.46,0,0.16,58416,48.2,31.65,56.74,0.03,0.56,142971,59.45,37.7,Uptrend,2026-06-19
POL,693.6,666.25,648.01,67.99,1.87,8.66,99109,647.65,520.68,68.99,4.06,10.07,502035,744.95,529,Uptrend,2026-06-19
PPL,246.1475,228.61,218.51,65.15,1.84,2.04,12036538,213.44,135.39,59.6,0.93,4.77,16041198,284.6,151.3,Uptrend,2026-06-19
PSO,359.6175,361.51,420.04,52.35,2.13,-1.7,5046615,414.86,254.97,39.06,0.13,-19.33,8339689,506.75,320.11,Downtrend,2026-06-19
SNGP,116.66,101,112.61,77.13,1.91,1.66,22073722,113.29,77.52,66.23,2.84,-3.69,27702037,142.6,83.2,Sideways,2026-06-19
