Symbol,Price,MA50-D,MA200-D,RSI-D,MACD-H-D,Signal-D,Volume-D,MA50-W,MA200-W,RSI-W,MACD-H-W,Signal-W,Volume-W,52W-High,52W-Low,Trend,Date
ACPL,220.6875,243.75,273.99,35.69,1.15,-4.23,49639,274.3,160.48,35.73,-2.64,-11.38,176191,325.01,205,Downtrend,2026-06-05
AHCL,14.5125,14.17,15.29,53.34,0.02,-0.01,1623081,14.82,7.32,49.5,-0.06,-0.16,19639537,19.33,10,Sideways,2026-06-05
APL,529.915,555.96,552.8,28.89,-5.24,-3.31,212673,548.35,418,42.97,-4.1,4.9,266350,646,435.11,Sideways,2026-06-05
ATIL,74.5925,71.66,77.83,61.73,0.19,0.57,6734,77.81,51.22,51.69,0.38,-1.28,22347,111.8,55,Sideways,2026-06-05
ATLH,1788.2075,1687.17,1542.78,64,-1.42,26.26,6407,1493.91,756.4,66.1,1.77,78.17,27249,1931,913,Uptrend,2026-06-05
BOP,34.1275,32.17,32.41,51.57,-0.17,0.4,15286456,29.65,11.94,53.95,-0.04,0.98,97927893,44.17,9.71,Sideways,2026-06-05
BWCL,447.1525,450.95,522.52,45.52,-1.11,-1.75,13005,511.69,293.26,40.75,1.04,-16.8,68978,687.61,386,Downtrend,2026-06-05
DLL,61.6175,53.96,51.47,75.29,1.23,0.8,315050,48.63,29.1,56.65,-0.58,1.78,479268,76.8,21.31,Uptrend,2026-06-05
DOL,31.61,29.48,32.8,54.22,-0.12,0.92,103295,32.96,25.93,51.98,0.54,-0.74,268688,41,25.36,Sideways,2026-06-05
DYNO,333.3875,299.59,295.25,73.42,1.12,5.61,2910,294.58,211.63,72.1,4.98,5.52,74987,366.9,233,Uptrend,2026-06-05
EFERT,201.47,201.4,215.84,50.47,0.6,-0.45,539209,213.73,153,42.22,-0.53,-4.16,4190748,263.3,176,Sideways,2026-06-05
EFUL,157.005,146.56,156.25,66.27,0.66,0.91,90631,156.08,174.69,54.79,0.73,-2.67,112043,182,136.1,Sideways,2026-06-05
EPQL,24.5375,24.27,28.35,57.11,0.12,0,114598,28.4,27.06,39.16,0.07,-1.47,1489018,34.98,22.3,Sideways,2026-06-05
FCCL,53.8825,48.39,53.1,62.14,0.26,1.06,4199390,52.16,29.48,55.72,0.87,-0.83,26221485,62.84,36.26,Sideways,2026-06-05
FFC,559.6175,522.55,526.42,67.7,3.84,6.01,1015528,514.9,262.68,58.11,0.95,4.48,4222763,685,366.92,Sideways,2026-06-05
HMB,116.8275,115.43,116.65,51.1,0,0.14,74529,115.78,71.24,50.04,-0.2,0.77,1018015,132,91.1,Sideways,2026-06-05
HUBC,215.2725,213.4,213.83,50.11,0.13,-0.06,2263682,204.95,130.58,52.4,-0.67,3.26,10892617,249.99,131,Sideways,2026-06-05
INDU,2036.925,1970.09,2064.82,54.96,-0.38,13.14,5501,2058.13,1559.87,48.25,12.27,-17.23,27093,2430,1685,Sideways,2026-06-05
JGICL,73.1425,69.37,77.85,55.15,-0.09,0.78,32643,76.47,47.71,55.93,0.62,-1.29,407192,95.5,54.98,Sideways,2026-06-05
KAPCO,27.7,27.41,31.87,54.03,0.1,-0.08,659073,32.02,29.98,38.31,0.07,-1.55,1879042,41.04,24.01,Sideways,2026-06-05
LOTCHEM,27.9675,26.33,26.27,56.49,0.01,0.46,2209838,25.61,23.59,58.86,0.35,0.35,22245083,34.3,18.41,Uptrend,2026-06-05
LSEVL,9.4775,8.6,8,62.57,0,0.19,675846,8.61,,61.5,0.18,0.14,6217965,15.64,5.39,Uptrend,2026-06-05
MTL,281.32875,265.86,266.28,58.17,-0.7,4.68,292090,269.02,249.13,59.39,3.26,0.12,1217224,299.75,232.5,Sideways,2026-06-05
NBP,185.445,186.78,213.97,46.42,0.65,-2.15,2496681,200.69,81.78,43.05,-4.44,-2.71,14594367,287.8,96.08,Downtrend,2026-06-05
OGDC,322.8625,308.04,285.23,54.53,-1.15,4.56,2032744,280.13,167.4,58.98,1.43,11.68,12514609,337.1,202,Uptrend,2026-06-05
OLPL,49.625,48.97,48.8,56.22,0.16,0.05,10690,47.79,31.37,57.95,0.02,0.54,183826,59.45,37.52,Uptrend,2026-06-05
POL,676.86,654.61,646.27,72.96,1.28,3.27,128130,643.61,517.94,68.69,2.75,8.07,1104564,744.95,525,Uptrend,2026-06-05
PPL,231.0825,223.3,215.82,52.78,-0.23,2.36,2750296,210.65,133.69,51.66,-0.39,4.5,12102760,284.6,151.3,Uptrend,2026-06-05
PSO,352.595,359.97,422.28,45.47,0.15,-4.59,1453950,416.04,253.25,35.74,-1.92,-19.22,6351873,506.75,320.11,Downtrend,2026-06-05
SNGP,99.695,97.92,113.15,51.3,-0.05,0.31,1521421,113.45,76.7,43.47,1,-4.83,7625685,142.6,83.2,Sideways,2026-06-05
