Symbol,Price,MA50-D,MA200-D,RSI-D,MACD-H-D,Signal-D,Volume-D,MA50-W,MA200-W,RSI-W,MACD-H-W,Signal-W,Volume-W,52W-High,52W-Low,Trend,Date
ACPL,228.36,227.82,265.69,51.11,0.29,-1.59,115890,267.48,164.81,35.37,-0.02,-12.48,1196199,325.01,205,Sideways,2026-07-17
AHCL,15.09,15.08,15.59,42.98,-0.17,0.18,1590011,15.25,7.68,48.75,0.09,0.04,7982885,19.33,11.51,Sideways,2026-07-17
APL,543.2025,553.65,555.57,46.03,0.1,-0.39,19615,551.41,425.3,45.05,-2.64,-0.04,208135,646,485,Downtrend,2026-07-17
ATIL,76.1125,74.03,76.81,59.77,-0.04,0.61,13410,77.5,52.49,58.27,0.66,-0.43,79521,111.8,63,Sideways,2026-07-17
ATLH,1650.1,1736.39,1605.75,29.2,-4.77,-18,1845,1561.65,796.66,47.58,-23.13,58.8,9202,1931,1032,Sideways,2026-07-17
BOP,33.9625,34.95,34.65,41.49,-0.36,0.22,12503494,32.32,12.84,48.89,-0.14,1.06,95448863,44.17,12.25,Sideways,2026-07-17
BWCL,497.575,468.92,509.59,60.87,-1.31,10,10437,514.98,304.06,56.15,7.59,-8.01,111180,687.61,386,Sideways,2026-07-17
DLL,57.355,55.87,55.01,50.91,-0.14,0.46,20812,52.04,30.21,47.7,-0.45,1.16,305312,76.8,27.3,Uptrend,2026-07-17
DOL,30.66,31.68,32.06,38.29,-0.24,0.2,50805,32.62,26.22,45.15,0.18,-0.12,814640,41,25.36,Downtrend,2026-07-17
DYNO,349.745,330.23,299.83,62.47,-0.64,5.72,5532,301.71,215.93,70.62,3.56,12.4,58684,366.9,254.3,Uptrend,2026-07-17
EFERT,193.055,198.8,213.93,37.38,-0.57,-1.52,830997,212.77,156.48,35.06,-0.73,-4.64,2726133,263.3,185.11,Downtrend,2026-07-17
EFUL,154.2525,152.78,155.97,47.08,-0.6,1.29,852,156.03,173.72,55.49,1.23,-0.77,13255,182,136.1,Sideways,2026-07-17
EPQL,25.6725,24.69,27.78,59.78,-0.04,0.27,350513,27.86,27.18,47.77,0.37,-1.02,1379435,34.98,22.3,Sideways,2026-07-17
FCCL,54.0575,53.75,52.98,46.08,-0.76,0.53,8814154,53.3,30.76,50.37,0.49,0.69,26944867,62.84,36.26,Uptrend,2026-07-17
FFC,553.7,548.14,542.56,47.09,-3.37,3.55,2327318,529.3,276.4,50.67,0.61,8.03,4217791,685,420.45,Uptrend,2026-07-17
HMB,115.6075,116.64,116.58,43.48,-0.22,0.27,527613,116.42,73.6,46.29,-0.26,0.53,2618542,132,103,Sideways,2026-07-17
HUBC,220.2275,221.18,219.42,42.24,-2,1.44,3865020,214.35,135.4,49.07,-0.3,4.23,10534315,249.99,144,Sideways,2026-07-17
INDU,1950.0625,2030.16,2030.36,31.07,-13.19,-6.99,2968,2056.13,1590.56,42.18,-2.29,-3.69,43922,2430,1695,Downtrend,2026-07-17
JGICL,79.0575,76.73,77.37,48.41,-0.67,1.49,51604,78.05,49.17,51.34,0.83,0.4,208576,95.5,59.26,Sideways,2026-07-17
KAPCO,27.8125,27.7,30.77,46.95,-0.07,0.06,395726,31.34,29.89,39.39,0.25,-1.19,2460438,41.04,24.01,Sideways,2026-07-17
LOTCHEM,29.765,28.43,27.07,53.07,0.01,0.64,17830259,26.62,23.58,52.74,0.19,0.81,66163892,34.3,18.41,Uptrend,2026-07-17
LSEVL,13.815,10.5,8.32,72.23,0.08,0.94,1362286,8.66,,74.43,0.49,0.66,2618216,15.64,5.39,Uptrend,2026-07-17
MTL,290.665,282.84,266.3,50.95,-1.72,5.25,300961,269.39,253,52.74,2.63,4.32,572057,318.5,150.25,Uptrend,2026-07-17
NBP,206.3875,194.79,218.46,54.03,-0.94,3.79,4391496,210.25,87.03,47.67,0.75,-3.3,11179823,287.8,119.01,Sideways,2026-07-17
OGDC,320.8725,327.19,293.65,39.19,-2.81,2.37,5019751,291.64,174.9,51.85,-1,13.38,14215379,352,220.99,Sideways,2026-07-17
OLPL,49.4675,49.29,49.14,49.15,-0.02,0.09,117993,48.81,32.19,57.52,-0.01,0.56,157196,59.45,39.83,Uptrend,2026-07-17
POL,679.99,676.46,648.36,46.54,-1.95,1.92,123537,652.23,526.5,57.96,0.55,12.3,568901,744.95,584.76,Uptrend,2026-07-17
PPL,222.545,233.43,222.76,33.96,-3.1,0.67,3798604,218.23,138.74,44.67,-1.39,5.16,18110970,284.6,161.13,Sideways,2026-07-17
PSO,350.8675,353.86,413.09,47.36,0.17,-1.24,2069338,411.23,258.57,35.93,0.99,-18.49,8675266,506.75,320.11,Downtrend,2026-07-17
SNGP,108.7425,106.55,111.21,45.42,-1.95,2.03,1973156,112.69,79.08,45.3,1.49,-1.07,10206078,142.6,83.2,Sideways,2026-07-17
