Symbol,Price,MA50-D,MA200-D,RSI-D,MACD-H-D,Signal-D,Volume-D,MA50-W,MA200-W,RSI-W,MACD-H-W,Signal-W,Volume-W,52W-High,52W-Low,Trend,Date
AHCL,14.7925,15.77,15.55,24.34,-0.17,0.01,3159938,15.61,8.12,49.17,0.04,0.22,8344519,19.33,12.16,Sideways,2026-09-11
APL,572.3975,556.29,559.06,54.16,-1.83,8.52,28635,556.98,434.95,57.9,4.04,0.82,146258,646,485,Sideways,2026-09-11
ATIL,74.7325,77.11,75.38,35.66,-0.54,-0.1,17165,76.73,54.03,48.31,0.19,0.56,30163,111.8,63,Sideways,2026-09-11
ATLH,1581.65,1631.03,1642.12,31.76,1.4,-14.95,3286,1611.31,841.3,41.63,-22.19,17.02,11917,1931,1233.72,Downtrend,2026-09-11
BOP,31.195,34.39,34.51,32.26,-0.22,-0.1,12777073,34.55,13.87,48.13,-0.27,0.72,79316769,44.17,17.42,Downtrend,2026-09-11
BWCL,446.825,492.94,487.88,13.54,-4.22,-5.85,22130,504.25,316.56,40.54,0.11,0.47,107909,687.61,386,Sideways,2026-09-11
DLL,47.22,53.97,57.84,25.13,-0.46,-1.49,40862,55.02,31.44,37.28,-0.9,0.06,180482,76.8,29.19,Downtrend,2026-09-11
DOL,29.685,30.67,31.22,39.87,0,-0.23,78179,31.72,26.48,44.63,-0.12,-0.17,781533,39.62,25.36,Downtrend,2026-09-11
DYNO,324.4875,345.49,308.39,28.18,-2.34,0.2,15150,306.92,221.85,57.09,-1.08,13.92,32271,366.9,254.3,Sideways,2026-09-11
EFERT,186.1025,189.31,208.1,46.76,0.39,-0.96,1114933,209.44,160.19,39.39,-0.35,-6.05,2648240,263.3,180.01,Downtrend,2026-09-11
EFUG,127.19,125.14,125.65,49.94,0.24,1.34,7577,125.37,105.6,60.53,0.5,0.03,252160,141.89,109.8,Sideways,2026-09-11
EFUL,162.0275,158.9,156.82,51.75,-0.87,0.91,1328,156.39,172.56,51.8,0.95,1.18,11185,185.5,136.1,Uptrend,2026-09-11
EPQL,23.3325,25.33,26.94,23.41,-0.1,-0.39,595798,27.31,27.21,35.71,0.03,-0.57,1352500,34.98,22.3,Downtrend,2026-09-11
FCCL,51.89,55.34,52.88,32.67,-0.45,-0.42,3992988,53.3,32.21,48.43,-0.1,1.19,19989750,62.84,36.26,Sideways,2026-09-11
FECTC,95.0675,108.87,116.84,27.78,-1.14,-1.42,175939,118.24,65.34,44.28,0.16,-1.04,781379,195.75,72,Downtrend,2026-09-11
FFC,535.09,555.22,554.67,31.35,-1.29,-3.17,1056605,544.53,292.26,48.22,-2.41,7.5,3507263,685,441.7,Sideways,2026-09-11
HMB,98.8375,111.07,114.75,17.63,-0.15,-3.5,160134,115.32,76.16,27.41,-1.87,-1.03,1218914,132,98.25,Downtrend,2026-09-11
HUBC,202.1975,216.43,218.53,31.42,-0.13,-3.13,2889348,218.74,140.47,41.13,-2.55,1.59,9731090,249.99,180.62,Downtrend,2026-09-11
INDU,1839.9275,1946.56,1997.93,17.45,-9.45,-15.67,18109,2012.1,1625.05,37.93,-10.06,-16.36,113922,2299.97,1695,Downtrend,2026-09-11
KAPCO,26.23,27.81,29.9,19.77,-0.14,-0.25,5888567,30.19,29.85,35.06,0.1,-0.78,7300177,41.04,24.01,Downtrend,2026-09-11
LOTCHEM,25.055,28.11,27.15,24.65,-0.2,-0.37,7260449,27.16,23.49,42.65,-0.32,0.52,19381376,34.3,18.41,Sideways,2026-09-11
LSEVL,11.96,13.18,9.58,34.86,-0.14,-0.17,203267,9.15,,59.87,0.02,1.18,2381242,14.9,5.39,Sideways,2026-09-11
MTL,299.26,299.38,273.91,46.07,-0.59,1.52,152266,271.83,258.22,57.06,1.15,8.28,1052302,318.5,150.25,Sideways,2026-09-11
NBP,179.5575,200.43,215.57,24.83,-1.25,-4.72,3142356,214.71,93.04,39.95,-1.2,-2.45,11734058,287.8,152.4,Downtrend,2026-09-11
OGDC,317.425,324.04,305.15,40.98,-1,0.7,2941107,298.9,183.59,54.47,-2.05,9.47,12741471,352,238.2,Sideways,2026-09-11
OLPL,47.2275,49.45,48.75,41.02,-0.14,-0.59,22201,49.04,33.16,37.56,-0.32,0.44,225408,59.45,44.04,Sideways,2026-09-11
POL,719.965,702.11,659.41,50.71,-2.43,9.8,795496,658.58,538.29,68.5,3.8,16.39,1259610,765,584.76,Uptrend,2026-09-11
PPL,214.01,229.01,229.31,28.51,-2.57,-0.49,5134684,224,144.73,46.5,-1.14,2.8,19431028,284.6,178.9,Downtrend,2026-09-11
PSO,342.8225,354.84,393.34,33.93,-3.08,1.4,1702705,402.81,265.55,42.47,3.82,-13.25,5606314,506.75,320.11,Downtrend,2026-09-11
SNGP,91.9475,104.73,106.4,22.74,-0.82,-1.96,1020058,109.57,81.45,39.31,-0.79,-0.9,5383663,142.6,83.2,Downtrend,2026-09-11
