Symbol,Price,MA50-D,MA200-D,RSI-D,MACD-H-D,Signal-D,Volume-D,MA50-W,MA200-W,RSI-W,MACD-H-W,Signal-W,Volume-W,52W-High,52W-Low,Trend,Date
ACPL,233.5575,239.82,272.46,52.14,1.11,-3.03,112410,273.32,161.26,38.89,-1.59,-11.78,588949,325.01,205,Downtrend,2026-06-12
AHCL,15.01,14.3,15.34,59.06,0.08,0.06,2083873,14.91,7.38,57.53,0.05,-0.15,43254015,19.33,10,Sideways,2026-06-12
APL,533.295,555.94,552.9,35.95,-2.43,-8.29,76286,549.26,419.18,45.89,-4.37,3.81,617823,646,435.11,Sideways,2026-06-12
ATIL,74.4075,71.6,77.63,59.52,0.04,0.71,1878,78.08,51.42,51.25,0.45,-1.17,63400,111.8,57.56,Sideways,2026-06-12
ATLH,1794.4,1718.58,1556.66,64.46,-3.23,22.23,9700,1507.86,763.43,61.66,-1.42,77.81,60599,1931,913,Uptrend,2026-06-12
BOP,34.44,32.95,32.88,54.51,-0.11,0.18,52924034,30.14,12.09,57.94,0.05,0.99,175103511,44.17,9.71,Uptrend,2026-06-12
BWCL,453.2675,451.74,520.11,52.15,0.5,-2.02,24915,512.89,294.97,48.24,2.49,-16.18,244152,687.61,386,Sideways,2026-06-12
DLL,56.705,54.18,52.18,51.36,0.02,1.53,53895,49.27,29.28,53.21,-0.5,1.66,413533,76.8,21.31,Uptrend,2026-06-12
DOL,31.7775,29.85,32.73,55.32,-0.19,0.67,104251,32.94,25.98,52.96,0.51,-0.61,631552,41,25.36,Sideways,2026-06-12
DYNO,330.7325,306.99,296.49,57.07,1.12,8.43,4393,295.7,212.4,73.61,5.52,6.9,23477,366.9,233,Uptrend,2026-06-12
EFERT,199.23,201.23,215.66,46.85,-0.11,-0.35,1361951,213.93,153.61,44.2,-0.29,-4.23,10882826,263.3,176,Downtrend,2026-06-12
EFUL,154.1875,147.55,156.13,57.39,0.26,1.59,71505,156.14,174.45,52.09,0.93,-2.44,9874,182,136.1,Sideways,2026-06-12
EPQL,24.7775,24.3,28.26,60.84,0.07,0.12,481942,28.33,27.08,42.67,0.16,-1.43,2344944,34.98,22.3,Sideways,2026-06-12
FCCL,53.9475,49.69,53.12,59.4,-0.03,1.1,14464283,52.4,29.7,62.25,1.11,-0.55,63168029,62.84,36.26,Sideways,2026-06-12
FFC,556.4875,527.67,529.33,61.92,0.79,8.36,1130158,518.16,264.98,60.04,2.14,5.02,10448931,685,369.71,Sideways,2026-06-12
HMB,115.7975,116.26,116.53,47.16,-0.16,-0.03,419003,116.07,71.63,52.09,-0.16,0.73,2252989,132,91.1,Downtrend,2026-06-12
HUBC,217.755,214.9,215.15,55.08,0.1,-0.18,5743151,206.76,131.38,60.89,0.28,3.33,51718576,249.99,131,Sideways,2026-06-12
INDU,2013.1175,1990.87,2058.24,49.15,-4.09,8.42,5418,2062.71,1564.95,53.06,13.02,-13.98,65888,2430,1685,Sideways,2026-06-12
JGICL,80.3825,70.55,77.65,75.46,0.62,1.09,15042,76.81,47.95,58.92,0.9,-1.07,632720,95.5,55.9,Sideways,2026-06-12
KAPCO,27.6525,27.49,31.66,53.15,0.04,-0.02,337371,31.92,29.97,41.6,0.15,-1.51,7447027,41.04,24.01,Sideways,2026-06-12
LOTCHEM,29.0075,26.86,26.45,60.78,0.07,0.54,1508376,25.78,23.58,59.59,0.35,0.44,161184885,34.3,18.41,Uptrend,2026-06-12
LSEVL,9.97,8.85,7.91,67.7,0.06,0.26,505635,8.59,,65.24,0.22,0.19,20695830,15.64,5.39,Uptrend,2026-06-12
MTL,281.38625,268.96,266.01,57.39,-0.88,3.46,419882,267.98,249.44,32.08,-0.43,0.01,9506042,318.5,150.25,Uptrend,2026-06-12
NBP,189.07,187.75,214.78,51.49,0.4,-1.87,6824707,202.42,82.62,49.34,-2.79,-3.41,35620447,287.8,98.75,Sideways,2026-06-12
OGDC,319.0425,312.48,286.65,50.34,-1.5,2.67,3228564,282.21,168.61,62.63,1.42,12.03,38111295,339.49,202,Uptrend,2026-06-12
OLPL,49.3875,49.16,48.94,52.41,0.02,0.15,17722,48,31.51,57.53,0.03,0.55,346554,59.45,37.52,Uptrend,2026-06-12
POL,697.9825,659.39,647.05,80.35,2.53,5.11,392394,645.8,519.33,72.54,3.93,9.06,816358,744.95,529,Uptrend,2026-06-12
PPL,226.27,224.75,216.94,48.34,-1.1,1.15,3398384,211.96,134.52,57.03,0.19,4.54,51236532,284.6,151.3,Uptrend,2026-06-12
PSO,352.33,358.91,421,47.47,0.55,-4.2,2009871,415.51,254.09,40.56,-0.59,-19.36,23257504,506.75,320.11,Downtrend,2026-06-12
SNGP,100.5325,98.75,112.7,53.76,0,0.22,1341303,113.27,77.08,57.19,1.71,-4.4,52892880,142.6,83.2,Sideways,2026-06-12
