Symbol,Price,MA50-D,MA200-D,RSI-D,MACD-H-D,Signal-D,Volume-D,MA50-W,MA200-W,RSI-W,MACD-H-W,Signal-W,Volume-W,52W-High,52W-Low,Trend,Date
ACPL,223.3425,232.93,269.76,41.22,-0.71,-1.14,148600,270.89,162.66,33.77,-1.07,-12.34,334416,325.01,205,Downtrend,2026-06-29
AHCL,15.8875,14.74,15.46,63.92,0.08,0.35,1592596,15.07,7.51,59.62,0.18,-0.07,16827261,19.33,10.51,Sideways,2026-06-29
APL,536.9675,558.17,553.8,41.32,1.27,-6.47,70785,550.05,421.52,49.12,-3.52,1.83,542212,646,461.31,Sideways,2026-06-29
ATIL,74.4975,72.43,77.38,55.09,-0.08,0.65,64103,78.13,51.84,53.39,0.55,-0.9,621019,111.8,58.58,Sideways,2026-06-29
ATLH,1710.965,1744.26,1579.32,34.88,-9.37,1.08,3290,1532.9,776.87,54.18,-11.43,73.37,54628,1931,1017.79,Sideways,2026-06-29
BOP,35.1725,34.66,33.73,54.04,0,0.43,23242667,31.06,12.39,58.8,0.12,1.04,183568734,44.17,10.1,Uptrend,2026-06-29
BWCL,479.47,459.16,515.69,68.99,2.25,4.14,38885,514.73,298.55,57.59,5.94,-13.76,169751,687.61,386,Sideways,2026-06-29
DLL,55.695,54.75,53.15,46.79,-0.49,0.67,220710,50.39,29.64,52.67,-0.46,1.41,1098124,76.8,22.8,Uptrend,2026-06-29
DOL,31.515,30.59,32.53,50.02,-0.13,0.38,46906,32.83,26.08,54.78,0.47,-0.38,1179616,41,25.36,Sideways,2026-06-29
DYNO,337.9525,318.39,298.44,58.13,-1.1,7.88,1089,298.16,213.71,70.43,4.87,9.38,12805,366.9,254.3,Uptrend,2026-06-29
EFERT,199.4825,201.37,215.39,46.57,-0.07,-0.14,686004,213.98,154.79,42.09,-0.13,-4.3,7487759,263.3,183.86,Downtrend,2026-06-29
EFUL,158.245,149.86,156.04,58.83,0.12,2.23,3276,156.18,174.15,55.7,1.43,-1.75,11987,182,136.1,Sideways,2026-06-29
EPQL,25.0425,24.33,28.07,61.48,0.01,0.23,388676,28.16,27.11,46.01,0.29,-1.3,3176376,34.98,22.3,Sideways,2026-06-29
FCCL,56.715,52.13,53.15,59.81,0.05,1.75,18052948,52.83,30.15,62.06,1.23,0.07,47158003,62.84,36.26,Sideways,2026-06-29
FFC,554.9075,537.91,534.72,53.97,-1.63,8.54,1422560,523.78,269.6,61.65,3.27,6.46,7980599,685,377.34,Uptrend,2026-06-29
HMB,114.2275,116.98,116.48,39.36,-0.24,-0.14,484713,116.16,72.4,51.17,-0.2,0.63,3666402,132,94.99,Sideways,2026-06-29
HUBC,229.665,219.86,217.81,62.05,1.1,3.46,3825028,210.24,133.04,61.36,1.24,3.88,19026672,249.99,136.9,Uptrend,2026-06-29
INDU,2074.77,2029.08,2047.53,60.7,2.97,11.85,14798,2064.28,1575.46,52.22,12.96,-7.07,418045,2430,1695,Sideways,2026-06-29
JGICL,81.27,73.49,77.56,69.87,0.3,1.84,230022,77.33,48.44,63.21,1.32,-0.46,459864,95.5,57.58,Sideways,2026-06-29
KAPCO,28.16,27.74,31.32,57.72,0.05,0.16,924516,31.7,29.95,43.46,0.27,-1.39,3661339,41.04,24.01,Sideways,2026-06-29
LOTCHEM,27.8375,27.68,26.75,46.87,-0.15,0.43,6222193,26.1,23.57,58.48,0.27,0.58,56150896,34.3,18.41,Uptrend,2026-06-29
LSEVL,10.4825,9.34,7.91,67.11,0.02,0.39,1317527,8.57,,68.97,0.27,0.32,15155020,15.64,5.39,Uptrend,2026-06-29
MTL,307.525,271.99,265.37,56.42,4.2,-0.95,493675,268.94,250.91,60.27,4.02,1.66,1733471,318.5,150.25,Uptrend,2026-06-29
NBP,200.68,192.75,216.87,57.25,1.07,2.65,11283903,205.62,84.37,50.77,-0.46,-3.91,42976138,287.8,103.64,Sideways,2026-06-29
OGDC,337.3025,321.8,289.58,64.15,1.2,3.93,2691219,286.69,171.17,66.58,2.03,12.97,26034103,348.4,213.05,Uptrend,2026-06-29
OLPL,49.745,49.31,49.14,55.96,-0.01,0.14,2620,48.39,31.78,56.98,0.02,0.56,84654,59.45,37.7,Uptrend,2026-06-29
POL,695.93,669.27,648.56,67.7,-0.27,8.88,306920,649.37,522.03,68.73,3.81,11.03,893263,744.95,544.45,Uptrend,2026-06-29
PPL,246.3425,230.59,219.73,63.68,1.37,3.58,3454522,215.05,136.28,60.18,1.4,5.12,25608910,284.6,161.13,Uptrend,2026-06-29
PSO,347.205,361.04,418.83,41.01,-0.15,-0.97,2560277,414.18,255.86,37.01,0.3,-19.26,14848909,506.75,320.11,Downtrend,2026-06-29
SNGP,121.1625,103.2,112.64,71.82,2.15,4.02,3973910,113.37,77.95,65.01,3.37,-2.85,16000350,142.6,83.2,Sideways,2026-06-29
