Symbol,Price,MA50-D,MA200-D,RSI-D,MACD-H-D,Signal-D,Volume-D,MA50-W,MA200-W,RSI-W,MACD-H-W,Signal-W,Volume-W,52W-High,52W-Low,Trend,Date
ACPL,236.7425,228.91,260.42,62.81,1.25,0.9,33588,263.77,167.05,43.08,1.74,-11.56,552980,325.01,205,Sideways,2026-08-07
AHCL,16.285,15.37,15.52,64.95,0.13,0.05,2173361,15.45,7.87,58.94,0.13,0.11,3691262,19.33,12.16,Sideways,2026-08-07
APL,546.7425,541.55,555.67,55.45,1.13,-1.51,60845,552.64,429.25,50.98,-1.21,-1.62,75090,646,485,Sideways,2026-08-07
ATIL,77.9975,75.58,75.74,64.25,0.03,0.69,1158,77.18,53.16,64.05,0.74,0.1,11193,111.8,63,Sideways,2026-08-07
ATLH,1625.9625,1702.36,1625.12,31.59,1.78,-20.66,3632,1585.97,816.08,45.8,-24.57,40.59,4734,1931,1105,Sideways,2026-08-07
BOP,36.23,34.76,34.76,61.74,0.27,-0.24,52334090,33.54,13.28,55.2,-0.12,0.94,84132095,44.17,13.61,Sideways,2026-08-07
BWCL,500.8925,482.08,498.75,57.41,-1.06,5.29,10183,512.47,309.61,57.58,6.54,-2.7,30981,687.61,386,Sideways,2026-08-07
DLL,53.815,56.69,56.6,44.19,-0.05,-0.88,15156,53.39,30.75,50.63,-0.53,0.71,109383,76.8,27.3,Sideways,2026-08-07
DOL,30.7775,31.47,31.5,50.02,0.15,-0.37,73178,32.38,26.35,49.39,0.01,-0.1,141026,41,25.36,Downtrend,2026-08-07
DYNO,345.51,340.97,300.98,51.86,-0.65,2.08,351,305.1,218.45,68.34,1.42,14.05,1026,366.9,254.3,Uptrend,2026-08-07
EFERT,191.6525,196.24,211.16,48.76,0.55,-2.28,554481,211.72,158.11,36.45,-0.74,-5.27,1119723,263.3,180.15,Downtrend,2026-08-07
EFUL,155.02,155.13,155.86,50.55,0,-0.18,12,155.77,173.15,50.68,0.56,-0.2,2212,182,136.1,Downtrend,2026-08-07
EPQL,26.735,25.44,27.49,73.48,0.06,0.3,819659,27.71,27.23,49.06,0.37,-0.73,2622817,34.98,22.3,Sideways,2026-08-07
FCCL,56.9725,55.24,52.68,57.54,0.33,0.06,7737180,53.58,31.4,60.45,0.47,1,29047213,62.84,36.26,Uptrend,2026-08-07
FFC,582.62,559.78,548.85,67.67,3.61,2.34,1463399,536.55,283.35,55.3,1,8.71,2000626,685,425,Uptrend,2026-08-07
HMB,115.0175,115.93,116.25,50.47,0.11,-0.76,32048,116.31,74.79,50.07,-0.31,0.25,863236,132,103,Downtrend,2026-08-07
HUBC,224.14,222.95,219.2,54.02,0.56,-1.09,5035147,217.88,137.64,50.33,-0.88,3.71,44220487,249.99,154.35,Uptrend,2026-08-07
INDU,1932.695,1999.96,2012.32,39.63,4.2,-24.59,8381,2037.82,1605.08,43.34,-9.16,-9.88,15256,2430,1695,Downtrend,2026-08-07
JGICL,80.235,78.61,77.13,55.41,0.05,0.16,11223,77.95,49.93,57.44,0.59,0.89,61708,95.5,59.26,Uptrend,2026-08-07
KAPCO,29.0275,27.93,30.23,67.79,0.15,0.02,2184547,30.9,29.86,48.97,0.31,-0.99,1686401,41.04,24.01,Sideways,2026-08-07
LOTCHEM,27.195,28.69,27.13,38.39,-0.17,-0.38,1976369,26.97,23.54,51.17,-0.15,0.75,24583776,34.3,18.41,Sideways,2026-08-07
LSEVL,13.5275,11.8,8.85,59.25,-0.11,0.54,378434,8.67,,77.39,0.42,0.99,2867591,15.64,5.39,Uptrend,2026-08-07
MTL,310.595,288.2,268.66,62.07,1.71,3.77,225339,270.45,255.24,59.44,3.13,6.46,472633,318.5,150.25,Uptrend,2026-08-07
NBP,206.365,200.65,218.07,53.31,0.13,0.95,808432,213.64,89.71,50.92,1.25,-2.46,2723198,287.8,128.65,Sideways,2026-08-07
OGDC,318.785,325.87,297.21,45.97,0.21,-3.01,3666665,294.88,178.55,55.01,-2.55,11.67,9422430,352,238.2,Sideways,2026-08-07
OLPL,50.875,49.78,48.79,58.03,0.07,0.25,66485,49.16,32.6,55.18,0.01,0.58,32848,59.45,42.31,Uptrend,2026-08-07
POL,690.28,683.67,646.06,59.26,1.03,1.07,459007,654.71,531.53,66.75,0.6,12.56,1092842,744.95,584.76,Uptrend,2026-08-07
PPL,221.585,231.25,224.48,45.7,0.7,-4.12,2856468,220.71,141.18,50.31,-2.08,3.53,19508835,284.6,175.8,Sideways,2026-08-07
PSO,351.375,350.55,403.23,52.91,1.44,-1.66,1569133,407.74,261.29,41.14,2,-17.41,4765764,506.75,320.11,Sideways,2026-08-07
SNGP,104.2725,108.05,109.08,45.95,0.31,-1.6,1698143,111.86,80.15,46.97,0.3,-0.62,3060018,142.6,83.2,Downtrend,2026-08-07
