Symbol,Price,MA50-D,MA200-D,RSI-D,MACD-H-D,Signal-D,Volume-D,MA50-W,MA200-W,RSI-W,MACD-H-W,Signal-W,Volume-W,52W-High,52W-Low,Trend,Date
ACPL,228.48,227.9,267.03,49.93,0.5,-1.84,76273,268.83,164.09,37.28,-0.1,-12.48,404749,325.01,205,Sideways,2026-07-10
AHCL,15.85,15,15.57,55.11,-0.08,0.38,1597406,15.2,7.63,51.78,0.15,0.01,9988239,19.33,11.32,Sideways,2026-07-10
APL,550.3225,556.39,554.93,53.8,2.14,-1.38,13344,551.31,424.02,47.84,-2.3,0.62,141059,646,485,Sideways,2026-07-10
ATIL,75.815,73.57,77.2,59.47,0.02,0.64,4795,77.68,52.27,56.71,0.63,-0.6,75419,111.8,63,Sideways,2026-07-10
ATLH,1702.815,1741.86,1598.33,41.24,-2.32,-12.29,2572,1553.34,790.13,48.72,-19.95,64.58,24683,1931,1030,Sideways,2026-07-10
BOP,36.13,35.03,34.45,55.05,-0.02,0.57,11557266,31.94,12.7,52.79,0.03,1.09,101746280,44.17,11.52,Uptrend,2026-07-10
BWCL,500.885,464.44,512.4,65.49,1.34,10.84,9386,515.49,302.23,55.67,7.75,-9.9,74846,687.61,386,Sideways,2026-07-10
DLL,59.025,55.43,54.35,62.2,0.17,0.48,102660,51.52,30.03,52.01,-0.3,1.27,121091,76.8,25.61,Uptrend,2026-07-10
DOL,32.995,31.16,32.25,60.77,0.04,0.37,41534,32.7,26.18,50.38,0.37,-0.16,1308010,41,25.36,Sideways,2026-07-10
DYNO,343.28,326.71,299.43,56.51,-0.61,6.65,9289,300.52,215.16,72.1,4.15,11.51,157276,366.9,254.3,Uptrend,2026-07-10
EFERT,196.41,199.46,214.51,40.37,-0.43,-0.7,531242,213.22,155.92,37.8,-0.42,-4.45,5486505,263.3,187,Downtrend,2026-07-10
EFUL,158.9075,151.65,155.98,57.78,-0.23,1.79,23,156.07,173.89,54.87,1.31,-1.08,23334,182,136.1,Sideways,2026-07-10
EPQL,25.675,24.49,27.89,60.47,0.02,0.31,297313,27.96,27.16,46.5,0.37,-1.11,1635450,34.98,22.3,Sideways,2026-07-10
FCCL,55.89,53.31,53.11,49.91,-0.46,1.53,3833281,53.21,30.56,52.48,0.81,0.56,37312963,62.84,36.26,Uptrend,2026-07-10
FFC,563.0725,544.89,539.99,52.49,-1.68,7.71,792472,527.59,274.2,54.53,2.23,7.87,9196961,685,397.41,Uptrend,2026-07-10
HMB,117.9725,116.71,116.49,54.28,0.23,0.33,244190,116.34,73.21,51,-0.08,0.59,1654747,132,103,Uptrend,2026-07-10
HUBC,227.95,221.6,219.37,51.94,-0.95,3.82,1671414,213.21,134.65,52.28,0.5,4.31,17131951,249.99,141.02,Uptrend,2026-07-10
INDU,2028.83,2039.92,2037.22,46.1,-4.76,7.57,23242,2060.25,1585.76,46.46,5.1,-3.12,83638,2430,1695,Sideways,2026-07-10
JGICL,81.5975,76.14,77.55,60,-0.29,2.21,11594,77.9,48.94,57.22,1.2,0.2,155285,95.5,59.26,Sideways,2026-07-10
KAPCO,28.1425,27.7,30.96,53.28,-0.06,0.15,668315,31.47,29.91,40.75,0.28,-1.25,3695815,41.04,24.01,Sideways,2026-07-10
LOTCHEM,31.1525,28.1,26.96,68.81,0.18,0.46,33037004,26.49,23.58,64.02,0.36,0.76,153656168,34.3,18.41,Uptrend,2026-07-10
LSEVL,14.355,10.05,8.16,92.01,0.33,0.75,3939803,8.64,,79.11,0.49,0.54,13737724,15.64,5.39,Uptrend,2026-07-10
MTL,298.24,279.92,266.12,53.64,0.76,6.6,171681,269.36,252.35,55.39,3.72,3.66,1325638,318.5,150.25,Uptrend,2026-07-10
NBP,210.78,194.26,218.1,60.47,0.64,4.75,4317787,208.96,86.17,50.26,0.97,-3.49,25202297,287.8,115.43,Sideways,2026-07-10
OGDC,335.1075,326.31,292.58,53.07,-0.63,5.09,3076684,290.7,173.71,57.19,0.68,13.63,25137354,352,220.99,Uptrend,2026-07-10
OLPL,49.71,49.35,49.16,54.08,-0.02,0.1,62081,48.69,32.06,56.37,-0.01,0.56,286664,59.45,39.32,Uptrend,2026-07-10
POL,682.8725,674.72,648.67,48.96,-2.36,4.83,338493,651.69,524.91,60.16,1.69,12.16,584480,744.95,583.04,Uptrend,2026-07-10
PPL,237.3175,233.18,222.08,47.38,-1.28,4.04,2565649,217.63,137.97,49.44,0.16,5.51,20917207,284.6,161.13,Uptrend,2026-07-10
PSO,353.4525,356.74,415.64,49.95,0.29,-1.52,1986584,412.72,257.68,38.55,1.2,-18.74,12977675,506.75,320.11,Downtrend,2026-07-10
SNGP,113.525,105.73,111.95,51.76,-1.19,4.49,2074511,113.11,78.73,50.6,2.45,-1.44,16854709,142.6,83.2,Sideways,2026-07-10
