Symbol,Price,MA50-D,MA200-D,RSI-D,MACD-H-D,Signal-D,Volume-D,MA50-W,MA200-W,RSI-W,MACD-H-W,Signal-W,Volume-W,52W-High,52W-Low,Trend,Date
ACPL,224.6075,234.03,270.1,42.35,-0.45,-0.96,51433,270.89,162.66,33.77,-1.07,-12.34,334416,325.01,205,Downtrend,2026-06-26
AHCL,15.9075,14.71,15.45,64.39,0.11,0.33,1868446,15.07,7.51,59.62,0.18,-0.07,16827261,19.33,10.51,Sideways,2026-06-26
APL,537.7325,558.52,553.72,41.99,1.38,-6.78,23856,550.05,421.52,49.12,-3.52,1.83,542212,646,461.31,Sideways,2026-06-26
ATIL,74.8825,72.3,77.39,58.88,-0.06,0.67,10377,78.13,51.84,53.39,0.55,-0.9,621019,111.8,58.58,Sideways,2026-06-26
ATLH,1716.5075,1743.57,1576.91,36.63,-9.89,3.43,3767,1532.9,776.87,54.18,-11.43,73.37,54628,1931,1017.79,Sideways,2026-06-26
BOP,35.3125,34.55,33.65,55.34,0.04,0.43,18657800,31.06,12.39,58.8,0.12,1.04,183568734,44.17,10.1,Uptrend,2026-06-26
BWCL,474.26,458.79,516.17,65.22,2.28,3.57,17584,514.73,298.55,57.59,5.94,-13.76,169751,687.61,386,Sideways,2026-06-26
DLL,55.8825,54.72,53.03,47.68,-0.51,0.8,424781,50.39,29.64,52.67,-0.46,1.41,1098124,76.8,22.8,Uptrend,2026-06-26
DOL,31.73,30.56,32.56,52.96,-0.11,0.41,72680,32.83,26.08,54.78,0.47,-0.38,1179616,41,25.36,Sideways,2026-06-26
DYNO,336.2675,317.35,298.34,56.76,-0.92,8.16,3237,298.16,213.71,70.43,4.87,9.38,12805,366.9,254.3,Uptrend,2026-06-26
EFERT,199.9225,201.59,215.44,47.72,-0.01,-0.12,2149768,213.98,154.79,42.09,-0.13,-4.3,7487759,263.3,183.86,Downtrend,2026-06-26
EFUL,156.8225,149.65,156.04,56.56,0.14,2.2,53,156.18,174.15,55.7,1.43,-1.75,11987,182,136.1,Sideways,2026-06-26
EPQL,25.085,24.33,28.09,63.34,0.02,0.23,383147,28.16,27.11,46.01,0.29,-1.3,3176376,34.98,22.3,Sideways,2026-06-26
FCCL,57.6475,52.03,53.17,64.48,0.15,1.74,8448185,52.83,30.15,62.06,1.23,0.07,47158003,62.84,36.26,Sideways,2026-06-26
FFC,557.58,537.59,534.19,56.74,-1.17,8.95,1279546,523.78,269.6,61.65,3.27,6.46,7980599,685,377.34,Uptrend,2026-06-26
HMB,114.835,117.06,116.5,42.13,-0.19,-0.08,597223,116.16,72.4,51.17,-0.2,0.63,3666402,132,94.99,Sideways,2026-06-26
HUBC,231.8825,219.56,217.63,66.87,1.52,3.18,3198012,210.24,133.04,61.36,1.24,3.88,19026672,249.99,136.9,Uptrend,2026-06-26
INDU,2072.8375,2026.16,2048.53,60.28,2.79,11.11,16131,2064.28,1575.46,52.22,12.96,-7.07,418045,2430,1695,Sideways,2026-06-26
JGICL,80.305,73.15,77.57,67.46,0.29,1.76,35233,77.33,48.44,63.21,1.32,-0.46,459864,95.5,57.58,Sideways,2026-06-26
KAPCO,28.25,27.74,31.36,60.36,0.08,0.14,1144184,31.7,29.95,43.46,0.27,-1.39,3661339,41.04,24.01,Sideways,2026-06-26
LOTCHEM,28.2275,27.61,26.72,51.06,-0.11,0.47,4843195,26.1,23.57,58.48,0.27,0.58,56150896,34.3,18.41,Uptrend,2026-06-26
LSEVL,10.585,9.28,7.9,71.08,0.04,0.38,783650,8.57,,68.97,0.27,0.32,15155020,15.64,5.39,Uptrend,2026-06-26
MTL,310.34,271.03,265.26,57.01,2.57,-2,440165,268.94,250.91,60.27,4.02,1.66,1733471,318.5,150.25,Uptrend,2026-06-26
NBP,200.915,192.53,216.73,57.58,1.45,2.39,6728453,205.62,84.37,50.77,-0.46,-3.91,42976138,287.8,103.64,Sideways,2026-06-26
OGDC,338.99,321.04,289.26,66.85,1.33,3.63,3779720,286.69,171.17,66.58,2.03,12.97,26034103,348.4,213.05,Uptrend,2026-06-26
OLPL,49.2275,49.29,49.11,48.19,-0.03,0.14,32848,48.39,31.78,56.98,0.02,0.56,84654,59.45,37.7,Sideways,2026-06-26
POL,691.2775,668.51,648.46,63.88,-0.19,8.95,183372,649.37,522.03,68.73,3.81,11.03,893263,744.95,544.45,Uptrend,2026-06-26
PPL,246.5225,230.16,219.45,63.97,1.52,3.24,4102051,215.05,136.28,60.18,1.4,5.12,25608910,284.6,161.13,Uptrend,2026-06-26
PSO,351.455,361.42,419.2,44.69,0.47,-0.93,2737048,414.18,255.86,37.01,0.3,-19.26,14848909,506.75,320.11,Downtrend,2026-06-26
SNGP,124.4925,102.78,112.68,80.31,2.54,3.48,5949478,113.37,77.95,65.01,3.37,-2.85,16000350,142.6,83.2,Sideways,2026-06-26
