Symbol,Price,MA50-D,MA200-D,RSI-D,MACD-H-D,Signal-D,Volume-D,MA50-W,MA200-W,RSI-W,MACD-H-W,Signal-W,Volume-W,52W-High,52W-Low,Trend,Date
ACPL,230.9375,228.8,259.07,51.18,0.1,1.44,19982,263.77,167.05,43.04,1.74,-11.56,703187,325.01,205,Sideways,2026-08-14
AHCL,16.1975,15.53,15.53,61.87,0.09,0.17,3650158,15.45,7.87,58.67,0.13,0.11,8339442,19.33,12.16,Sideways,2026-08-14
APL,553.0225,541.5,555.78,61.11,1.79,0.23,22365,552.63,429.25,50.87,-1.23,-1.62,111781,646,485,Sideways,2026-08-14
ATIL,78.335,76,75.62,60.9,0.05,0.78,22722,77.17,53.16,63.46,0.72,0.1,34292,111.8,63,Uptrend,2026-08-14
ATLH,1625.7825,1689.37,1629.83,32.96,2.25,-18.6,1398,1585.98,816.08,45.85,-24.54,40.6,7869,1931,1105,Sideways,2026-08-14
BOP,34.7125,34.8,34.67,50.86,0.12,-0.05,16204913,33.54,13.29,55.51,-0.11,0.94,118484550,44.17,13.61,Sideways,2026-08-14
BWCL,502.1325,486.18,496.34,58.56,-0.84,4.36,6535,512.47,309.61,57.78,6.57,-2.7,56879,687.61,386,Sideways,2026-08-14
DLL,55.26,56.36,56.99,52.09,0.33,-0.67,12994,53.39,30.75,50.01,-0.55,0.71,142371,76.8,27.3,Downtrend,2026-08-14
DOL,31.245,31.31,31.42,55.56,0.16,-0.22,65286,32.38,26.35,49.69,0.02,-0.1,238358,41,25.36,Downtrend,2026-08-14
DYNO,343.2825,343.18,301.77,48.46,-0.71,1.46,586,305.1,218.45,68.54,1.44,14.06,2005,366.9,254.3,Uptrend,2026-08-14
EFERT,185.745,194.94,210.54,35.87,0.04,-1.98,1400308,211.7,158.1,35.44,-0.83,-5.3,3222130,263.3,180.15,Downtrend,2026-08-14
EFUL,158.14,155.55,155.88,55.62,0.34,-0.02,27780,155.79,173.16,52.59,0.63,-0.18,30167,182,136.1,Sideways,2026-08-14
EPQL,25.1775,25.52,27.4,38.56,-0.17,0.22,367036,27.71,27.23,49.15,0.38,-0.73,3229294,34.98,22.3,Downtrend,2026-08-14
FCCL,57.885,55.59,52.68,59.93,0.36,0.45,4181588,53.58,31.4,60.4,0.47,1,43895720,62.84,36.26,Uptrend,2026-08-14
FFC,557.5075,560.33,550.41,47.73,-0.75,2.97,1242968,536.56,283.35,55.5,1.04,8.72,3970744,685,425,Sideways,2026-08-14
HMB,115.12,115.8,116.06,50.07,0.32,-0.48,486099,116.3,74.79,48.7,-0.35,0.24,1830174,132,103,Downtrend,2026-08-14
HUBC,213.575,222.69,219.11,40.53,-0.62,-1.33,2100925,217.89,137.64,50.61,-0.86,3.72,55806325,249.99,157.25,Sideways,2026-08-14
INDU,1951.4075,1991.08,2009.05,49.83,6.09,-19.56,616975,2038.17,1605.17,45.21,-8.06,-9.6,658096,2430,1695,Downtrend,2026-08-14
JGICL,80.375,79.14,77.1,55.65,0.08,0.23,22310,77.95,49.93,57.67,0.6,0.89,112823,95.5,59.26,Uptrend,2026-08-14
KAPCO,28.21,28.01,30.15,51.44,0.05,0.13,493881,30.9,29.86,48.42,0.3,-0.99,2851158,41.04,24.01,Sideways,2026-08-14
LOTCHEM,27.6425,28.64,27.14,44.74,0.03,-0.41,4109443,26.97,23.54,50.68,-0.15,0.75,32957211,34.3,18.41,Sideways,2026-08-14
LSEVL,14.0775,12.19,9.01,64.38,-0.03,0.49,625657,8.67,,77.06,0.41,0.99,4270041,15.64,5.39,Uptrend,2026-08-14
MTL,304.6475,290.32,269.61,55.97,0.37,4.79,122173,270.42,255.23,59.01,3.03,6.44,700997,318.5,150.25,Uptrend,2026-08-14
NBP,204.2225,201.65,217.89,50.41,-0.17,0.92,1305823,213.64,89.71,50.86,1.25,-2.46,6666966,287.8,136.37,Sideways,2026-08-14
OGDC,319.4825,325.47,298.33,46.98,0.69,-2.32,2172684,294.86,178.55,54.7,-2.6,11.65,14018121,352,238.2,Sideways,2026-08-14
OLPL,50,49.83,48.7,48.89,-0.06,0.22,9950,49.16,32.6,55.27,0.01,0.58,60928,59.45,43,Uptrend,2026-08-14
POL,721.5875,686.99,647.55,80.83,3.46,3.2,344685,654.92,531.58,69.96,1.25,12.72,2350644,744.95,584.76,Uptrend,2026-08-14
PPL,230.7175,230.73,225.26,56.94,1.9,-2.55,6914770,220.72,141.18,50.52,-2.05,3.54,31536258,284.6,175.8,Sideways,2026-08-14
PSO,350.815,350.39,400.77,52.02,0.88,-0.52,3588665,407.75,261.3,41.44,2.04,-17.4,9346722,506.75,320.11,Sideways,2026-08-14
SNGP,103.78,108.28,108.55,45.48,0.14,-1.42,2580909,111.86,80.15,46.96,0.3,-0.62,11250136,142.6,83.2,Downtrend,2026-08-14
