Symbol,Price,MA50-D,MA200-D,RSI-D,MACD-H-D,Signal-D,Volume-D,MA50-W,MA200-W,RSI-W,MACD-H-W,Signal-W,Volume-W,52W-High,52W-Low,Trend,Date
ACPL,220.515,227.84,263.79,41.39,-0.22,-1.54,77882,266.12,165.55,40.41,0.55,-12.34,494879,325.01,205,Downtrend,2026-07-24
AHCL,14.7825,15.1,15.57,40.44,-0.13,-0.01,1710713,15.31,7.74,52.09,0.07,0.05,8739292,19.33,12.08,Downtrend,2026-07-24
APL,532.91,547.78,556.11,35.63,-1.06,-1.03,16704,551.55,426.58,44.59,-2.82,-0.74,132740,646,485,Downtrend,2026-07-24
ATIL,76.505,74.56,76.44,57.6,0,0.56,38229,77.32,52.71,60.08,0.69,-0.26,76122,111.8,63,Sideways,2026-07-24
ATLH,1636.215,1727.39,1613.12,26.97,-2.43,-22.21,2313,1570.11,803.19,48.69,-23.88,52.83,20774,1931,1088.98,Sideways,2026-07-24
BOP,32.59,34.73,34.75,35.99,-0.31,-0.18,20591638,32.71,12.98,51.2,-0.21,1,76044396,44.17,12.74,Downtrend,2026-07-24
BWCL,496.375,473.14,505.44,56.87,-1.54,7.92,13725,514.58,305.91,57.83,7.5,-6.13,68950,687.61,386,Sideways,2026-07-24
DLL,52.2175,56.14,55.6,30.72,-0.65,-0.05,76809,52.53,30.39,46.17,-0.58,1.01,172940,76.8,27.3,Sideways,2026-07-24
DOL,29.405,31.72,31.84,32.05,-0.35,-0.24,29808,32.54,26.27,45.32,0.05,-0.1,237720,41,25.36,Downtrend,2026-07-24
DYNO,345.2475,333.96,299.96,53.83,-1,4.61,16867,302.87,216.79,70.96,2.95,13.14,9776,366.9,254.3,Uptrend,2026-07-24
EFERT,187.2325,197.9,213.07,27.15,-0.63,-2.2,517485,212.37,157.02,33.87,-0.96,-4.88,5981699,263.3,180.15,Downtrend,2026-07-24
EFUL,154.905,153.81,155.94,49.17,-0.56,0.52,31,155.95,173.55,51.72,1,-0.53,1472,182,136.1,Sideways,2026-07-24
EPQL,25.755,24.94,27.68,57.49,-0.01,0.25,208460,27.82,27.2,50.16,0.38,-0.92,5039561,34.98,22.3,Sideways,2026-07-24
FCCL,51.335,54.02,52.78,38.19,-0.55,-0.16,3652463,53.39,30.96,54.49,0.38,0.78,42359397,62.84,36.26,Sideways,2026-07-24
FFC,534.265,550.33,544.52,34.94,-3.43,-0.25,704777,531.37,278.68,54.83,0.32,8.11,10527339,685,425,Sideways,2026-07-24
HMB,113.5175,116.43,116.53,36.36,-0.44,-0.21,92901,116.42,74,45.46,-0.39,0.43,587729,132,103,Downtrend,2026-07-24
HUBC,213.885,221.05,218.95,35.97,-1.61,-0.67,2604852,215.53,136.17,51.63,-0.59,4.08,13872236,249.99,144,Sideways,2026-07-24
INDU,1896.245,2014.1,2022.71,22.54,-11.33,-21.63,6971,2051.5,1595.39,41.93,-6.96,-5.43,138864,2430,1695,Downtrend,2026-07-24
JGICL,76.9725,77.19,77.24,41.91,-0.69,0.54,39162,78.07,49.42,55.27,0.7,0.58,75563,95.5,59.26,Downtrend,2026-07-24
KAPCO,27.5425,27.74,30.58,41.1,-0.06,-0.02,525165,31.19,29.88,38.93,0.23,-1.13,2101670,41.04,24.01,Downtrend,2026-07-24
LOTCHEM,27.295,28.61,27.12,36.42,-0.33,0.41,10909925,26.74,23.58,49.86,0.03,0.81,21987876,34.3,18.41,Sideways,2026-07-24
LSEVL,12.7575,10.94,8.49,54.6,-0.15,0.89,526551,8.67,,75.13,0.47,0.78,2899434,15.64,5.39,Uptrend,2026-07-24
MTL,282.5275,284.17,266.74,47.08,-2.06,2.72,114631,269.67,253.7,56,2.5,4.94,1400092,318.5,150.25,Sideways,2026-07-24
NBP,194.395,196.29,218.3,41.25,-1.78,2.16,4027908,211.43,87.91,50.1,0.92,-3.07,12535149,287.8,119.01,Downtrend,2026-07-24
OGDC,311.4575,326.69,294.55,31.13,-2.78,-1.3,2732279,292.63,176.11,53.42,-1.88,12.91,11917240,352,222.05,Sideways,2026-07-24
OLPL,50.445,49.29,49.09,64.16,0.05,0.09,53585,48.94,32.33,60.66,0.02,0.57,14208,59.45,40.34,Uptrend,2026-07-24
POL,671.33,677.95,647.05,37.14,-1.6,0.18,130346,653.04,528.18,61.44,0.19,12.35,531546,744.95,584.76,Sideways,2026-07-24
PPL,211.64,232.8,223.02,27.29,-2.85,-3.02,3154181,218.93,139.53,46.56,-2.09,4.64,14277570,284.6,164.5,Sideways,2026-07-24
PSO,336.39,351.87,409.79,33.88,-1.18,-1.87,1336129,409.79,259.47,35.63,0.91,-18.27,8616616,506.75,320.11,Downtrend,2026-07-24
SNGP,98.405,106.86,110.33,32.51,-1.99,-0.34,2064935,112.35,79.43,46.02,0.86,-0.85,5673580,142.6,83.2,Downtrend,2026-07-24
